City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rawson,AR,-43.3002,-65.1023,54.0,46,100,9.78,overcast clouds
80,Faanui,PF,-16.4833,-151.75,79.36,77,25,16.04,moderate rain
81,Chara,RU,56.9064,118.2631,57.87,73,100,2.57,light rain
82,Berea,US,41.3662,-81.8543,75.25,60,75,10.36,broken clouds
83,Mayo,US,38.8876,-76.5119,72.18,82,100,3.44,overcast clouds
84,Namatanai,PG,-3.6667,152.4333,83.43,68,9,9.42,clear sky
85,Lagoa,PT,39.05,-27.9833,61.02,82,75,13.04,broken clouds
86,Matara,LK,5.9485,80.5353,77.65,89,100,9.82,overcast clouds
87,Coihaique,CL,-45.5752,-72.0662,32.61,93,100,2.3,overcast clouds
88,Moose Factory,CA,51.2585,-80.6094,59.0,72,100,6.91,overcast clouds
89,Nanortalik,GL,60.1432,-45.2371,43.92,87,100,17.13,light rain
90,Sitka,US,57.0531,-135.33,51.69,71,100,21.85,overcast clouds
91,Teguise,ES,29.0605,-13.564,68.22,78,75,14.97,broken clouds
92,Ambon,ID,-3.6954,128.1814,77.14,94,20,3.44,few clouds
93,Salinopolis,BR,-0.6136,-47.3561,78.44,85,46,9.28,scattered clouds
94,Sinnamary,GF,5.3833,-52.95,77.43,87,34,7.49,scattered clouds
95,San Jose,US,37.3394,-121.895,95.9,42,20,20.71,few clouds
96,Doha,QA,25.2867,51.5333,94.98,27,0,17.27,clear sky
97,Jawhar,SO,2.7809,45.5005,75.67,86,77,12.75,broken clouds
98,Talcahuano,CL,-36.7167,-73.1167,49.68,93,100,4.61,overcast clouds
99,Mehran,IR,33.1222,46.1646,87.67,16,0,13.38,clear sky
100,Kodinsk,RU,58.6881,99.1844,60.22,57,83,3.85,broken clouds
101,Saskylakh,RU,71.9167,114.0833,56.41,47,5,10.54,clear sky
102,Kodiak,US,57.79,-152.4072,56.71,67,0,8.05,clear sky
103,Banjar,ID,-8.19,114.9675,77.52,86,100,2.55,overcast clouds
104,Castro,BR,-24.7911,-50.0119,43.36,67,99,2.77,overcast clouds
105,Pangnirtung,CA,66.1451,-65.7125,34.23,93,96,3.24,overcast clouds
106,Mpanda,TZ,-6.3655,31.0409,68.5,58,69,4.63,broken clouds
107,Ishinomaki,JP,38.4167,141.3,60.8,96,100,8.5,moderate rain
108,Belluno,IT,46.145,12.2214,66.9,75,8,1.01,clear sky
